Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Index;Current range
-0.835723876953125;894.145011742501;-1.4190673828125E-06;-0.83648681640625;341;10 µA
-0.83465576171875;894.358634741962;-8.392333984375E-07;-0.8349609375;342;10 µA
-0.833587646484375;894.572257741422;-1.708984375E-07;-0.8349609375;343;10 µA
-0.83251953125;894.785880740883;-9.58251953125E-07;-0.83343505859375;344;10 µA
-0.831451416015625;894.999503740343;-5.035400390625E-07;-0.83404541015625;345;10 µA
-0.83038330078125;895.213126739804;4.302978515625E-07;-0.83038330078125;346;10 µA
-0.829315185546875;895.426749739265;-1.1810302734375E-07;-0.830078125;347;1 µA
-0.8282470703125;895.640372738725;2.581787109375E-07;-0.828857421875;348;1 µA
-0.827178955078125;895.853995738186;4.0374755859375E-07;-0.828857421875;349;1 µA
-0.82611083984375;896.067618737647;1.275634765625E-07;-0.82855224609375;350;1 µA
-0.825042724609375;896.281241737107;3.7872314453125E-07;-0.8251953125;351;1 µA
-0.823974609375;896.494864736568;6.8603515625E-07;-0.82366943359375;352;1 µA
-0.822906494140625;896.708487736029;3.8970947265625E-07;-0.82366943359375;353;1 µA
-0.82183837890625;896.922110735489;5.3680419921875E-07;-0.82305908203125;354;1 µA
